imie_i_nazwisko,sciezka,dzien,temat,bio,plik_zdjecia
"Michał Matejczyk","Biznes","1","Dobre i złe wdrożenia od strony procesowej. Co firmy zrobiły, żeby dostać na czas to, czego realnie potrzebują.","Wiceprezes Zarządu i Dyrektor ds. Rozwoju w Entra Group. Ekspert z ponad 20-letnim doświadczeniem w obszarze produkcji, utrzymania ruchu, wdrażania projektów WCM w operacjach i zarządzania zmianą. Specjalizuje się w zmianach systemowych i procesowych w działach operacyjnych firm (produkcja, utrzymanie ruchu, jakość), angażowaniu i motywowaniu pracowników oraz zarządzaniu zmianą w oparciu o koncepcje Produkcji Klasy Światowej (WCM), TPM oraz Lean. Wypracowuje rozwiązania z zakresu zarządzania organizacją z wykorzystaniem wskaźników efektywności i wspiera firmy w transformacji oraz rozwoju kompetencji cyfrowych. Doświadczenie zdobywał w Polsce i za granicą, pracując dla kluczowych branż, m.in. przemysłu spożywczego, farmaceutycznego, ciężkiego, maszynowego, meblowego, chemicznego i wydobywczego. W Entra Group odpowiada przede wszystkim za realizację projektów w obszarach Produkcji i Utrzymania Ruchu oraz doskonalenie umiejętności miękkich pracowników w działach operacyjnych. Master Trener WCM, członek SIM (Stowarzyszenie Interim Managerów), autor publikacji naukowych z zakresu transformacji organizacji i korzyści z wdrażania modelu WCM. Absolwent kierunku Automatyka i Robotyka na Wydziale Elektrotechniki i Automatyki Politechniki Gdańskiej.","zdjecia/michal-matejczyk.jpg"
"Piotr Werner","Biznes","1","Wdrożenie AI od Kuchni (Vikinga). Czy na pewno takie smaczne?","Mąż, ojciec, Head of Digital Analytics and Performance Marketing w Kuchni Vikinga. W codziennej pracy stara się tłumaczyć język techniczny na biznesowy (w obie strony) oraz odpowiadać na pytania: co, jak i dlaczego? Czasem również: kiedy? W e-commerce od 2014 r. Pracował głównie w in-house'owych zespołach, ma za sobą także epizod agencyjny. Zbudował od podstaw zespół analityki internetowej w Orange Polska, który pozostawił w dobrych rękach i przeniósł się do podlaskiej Kuchni Vikinga. Specjalizuje się w analityce, ale jako że ta trudno sobie radzi bez uporządkowanych procesów, dobrych definicji celów biznesowych i KPI, a także rozsądnie zarządzanych zespołów, to również w tych obszarach ma pewne doświadczenie.","zdjecia/piotr-werner.jpg"
"Norbert Pawluczuk","Biznes","1","Transformacja cyfrowa w branży produkcyjnej bez budżetu z kosmosu. Lekcje z wdrożenia Showroomu 3D i aplikacji myINTERTECH.","Dyrektor Marketingu / CMO w Intertech Sp. z o.o., z wieloletnim doświadczeniem w budowaniu strategii marketingowej, rebrandingu oraz cyfryzacji procesów w branży maszynowej i produkcyjnej (wcześniej związany m.in. z SaMASZ Sp. z o.o. i Pronar Sp. z o.o.). W swojej pracy łączy klasyczny marketing B2B z nowoczesnymi narzędziami cyfrowego wsparcia sprzedaży (sales enablement), stawiając na rozwiązania, które przynoszą mierzalny zwrot i realną wartość biznesową bez zbędnego przepalania budżetu. W Intertech odpowiada za całościową transformację wizerunkową marki oraz strategiczne projektowanie i wdrożenie cyfrowego ekosystemu klienta. Jest pomysłodawcą i inicjatorem projektu wirtualnego showroomu (3D/VR) oraz autorskiej aplikacji mobilnej myINTERTECH. Zwolennik praktycznego podejścia do technologii: traktuje ją nie jako marketingowy gadżet, lecz jako wieloetapowy proces skracający dystans do klienta. W ramach tworzonego środowiska digitalowego rozwija m.in. moduł „Mój Garaż” (dający użytkownikom maszyn natychmiastowy dostęp do dokumentacji i instrukcji), cyfrowy kanał zamówień części zamiennych, zdalne moduły szkoleniowe oraz narzędzia do budowania długofalowej bazy i relacji z użytkownikami końcowymi.","zdjecia/norbert-pawluczuk.jpg"
"Przemysław Józwiakowski","Biznes","2","Gdzie naprawdę pękają wdrożenia AI w dużych organizacjach: ludzie, systemy, mindset","Zaczynał poza technologią, w budownictwie. Przejście do IT nauczyło go rzeczy, która została z nim na lata: najciekawsze rozwiązania powstają na styku dziedzin, a nie w ich środku. Przez 15 lat budował, skalował i uczył technologii — prowadził Akademię Programowania, przez którą przeszło 500 programistów, zarządzał 50-osobowym zespołem technicznym, stworzył metodologię „Metawarstwy” używaną dziś przez ponad 10 000 osób. Dziś prowadzi Localhost Group — firmę, która robi coś celowo niepopularnego w branży. Zamiast sprzedawać firmom automatyzacje, buduje w nich wewnętrzne działy AI, które po dwunastu miesiącach działają samodzielnie. „Nie sprzedajemy narzędzi. Budujemy kompetencję, żeby je mieć na własność” — to zdanie kosztuje Localhost Group przychód z wiecznych retainerów i jest świadomym wyborem. Pracował m.in. z Wealthon, Velo Leasing, Esotiq & Henderson, Group One Media, Exact Forestall, Automation Trader, Dr Optima i by.vet — fintech, leasing, retail, media, SaaS, przemysł, farmacja, weterynaria. Efekty liczone są w setkach tysięcy dolarów rocznych oszczędności, w procesach skróconych z godzin do minut i w kosztach obsługi spadających o rzędy wielkości. 97% automatyzacji wdrożonych w 2025 roku nadal działa w produkcji — przy rynkowej średniej, w której mniej niż 10% use case'ów AI w ogóle do produkcji dociera. Uczy tego, co robi. Jest autorem kursów, w których osoby bez wykształcenia technicznego budują własne narzędzia AI — m.in. sześciotygodniowego programu „VibeCoding dla każdego”, zrealizowanego z CampusAI, gdzie wcześniej odpowiadał za technologię jako współzałożyciel i CTO platformy z 35 tysiącami użytkowników. Doradza funduszom venture capital i kadrze zarządzającej.","zdjecia/przemyslaw-jozwiakowski.jpg"
"Maciej Lotkowski","Biznes","2","95% wdrożeń to zmarnowane pieniądze. Konsultanci i tak wystawią fakturę.","","zdjecia/maciej-lotkowski.jpg"
"Gabriela Załoga","Biznes","2","Czy ludzie naprawdę nie lubią zmian? O cyfryzacji z ludzką twarzą","","zdjecia/gabriela-zaloga.jpg"
"Katarzyna Onoszko","Biznes","2","Zakup i wdrożenie oprogramowania okiem klienta — case study Panorama Druk","","zdjecia/katarzyna-onoszko.jpg"
"Bożena Datczuk","Biznes","2","Cyfryzacja w produkcji mebli — case study TOBO","Prezes firmy TOBO Sp. z o.o. z siedzibą w Kurianach koło Białegostoku. Absolwentka Wydziału Ekonomii Uniwersytetu w Białymstoku z ponad 30-letnim doświadczeniem biznesowym. Od 1998 roku wraz z mężem Tomaszem prowadzi TOBO — producenta mebli biurowych, gabinetowych, recepcyjnych, hotelowych i edukacyjnych, w tym nagradzanej linii 4SENIOR dla stref senioralnych. Firma stawia na ergonomię, akustykę i prozdrowotne rozwiązania przestrzeni pracy, a jej produkty wyróżniano m.in. Złotym Medalem Grupy MTP, Diamentem Meblarstwa, Dobrym Wzorem, Must Have i Podlaską Marką. Wiceprezes Zarządu Fundacji Technotalenty, organizacji promującej kulturę innowacji poprzez wsparcie firm w pozyskiwaniu talentów i budowanie relacji biznes–nauka. Członkini Rady Izby Przemysłowo-Handlowej w Białymstoku (od 2019, druga kadencja jako sekretarz), Podlaskiej Rady Przedsiębiorczości przy Marszałku Województwa Podlaskiego, Grupy Roboczej ds. specjalizacji regionalnej gospodarki przy Departamencie Innowacji i Przedsiębiorczości Urzędu Marszałkowskiego oraz Rady Rozwoju Obszaru Gospodarczego Suwalskiej Specjalnej Strefy Ekonomicznej. Zasiada też w Radzie Rozwoju Wydziału Architektury i Radzie Przedsiębiorców Wydziału Inżynierii Zarządzania Politechniki Białostockiej. Współorganizatorka cyklicznych bali charytatywnych.","zdjecia/bozena-datczuk.jpg"
"Piotr Krych","Biznes","2","Możliwości narzędzi AI w codziennej pracy","W branży IT od 18 lat i przez cały ten czas czynny developer, choć po drodze przeszedł większość ról w wytwarzaniu oprogramowania. Właściciel Monolynx. Dziś specjalizuje się w praktycznym zastosowaniu sztucznej inteligencji w firmach: Claude AI (Chat, Cowork, Code), technologiczne wsparcie pracy i transformacja cyfrowa organizacji. Prowadzi szkolenia z narzędzi AI dla MŚP i wdraża asystentów AI u klientów. Wystąpił m.in. na BRAVE AI Meetup w Białymstoku. Nie mówi o AI z perspektywy prezentacji — pokazuje to, czego sam używa w codziennej pracy.","zdjecia/piotr-krych.jpg"
"Piotr Jurewicz","Biznes","2","Wiedza organizacji w grafie, nie w głowach","Piotr zakochał się w języku Ruby 12 lat temu i ten związek trwa do dziś. Kiedyś jako one-man army wdrażał platformę e-commerce. Dziś, jako konsultant w Arkency, wchodzi w duże systemy legacy i pomaga biznesom operować tam, gdzie niejeden już by załamał ręce. Dzięki temu poznał od podszewki branżę ubezpieczeniową i fintech. Jego nieoficjalna misja w Arkency: utrwalać wiedzę organizacji poza ulotną pamięcią jej pracowników. Tak zaczęła się jego przygoda ze sztuczną inteligencją.","zdjecia/piotr-jurewicz.jpg"
"Piotr Janiak","Biznes","1","Zanim zbudujesz agenta AI, uporządkuj wiedzę. Lekcje z chaosu w organizacji","","zdjecia/piotr-janiak.jpg"
"Adam Piotrowski","Biznes","1","Biznes nam nie ufa — i wcale im się nie dziwię","","zdjecia/adam-piotrowski.jpg"
"Michał Szumski","Biznes","2","O transformacji, jaką przeszedł nasz dział rozwoju przez ostatnie 10 lat","Pięć lat w Anglii: liceum i inżynier z matematyki na Loughborough University, potem trzy lata magisterki z automatyki i robotyki na Politechnice Warszawskiej. W Plum pracuje od 15 lat — zaczynał jako handlowiec, pracował w marketingu, na produkcji, jako programista, Scrum Master, Product Owner i kierownik sekcji programistów, a od ponad dwóch lat jest Prezesem Zarządu. Prywatnie siłownia, bieganie, książki i gry planszowe z dziećmi. Plum specjalizuje się we wdrażaniu i produkcji elektroniki NB-IoT w branżach HVAC, gaz i woda. R&D, jakość i rozwój produktu firma ma wpisane w DNA.","zdjecia/michal-szumski.jpg"
"Bartosz Awruk","Biznes","1","Case study LumoSteel","","zdjecia/bartosz-awruk.jpg"
"Grzegorz Sienkiewicz","Biznes","1","Case study 4szpaki","",""
"Konrad Zawistowski","Biznes","2","Migracja z ERP-a do ERP-a — case study Ikonka.pl","",""
"Krzysztof Kozłowski","Biznes","2","Aplikacja self-made do prowadzenia produkcji — case study Inwestprodukt","",""
"Marek Ziemba","Biznes","2","Jak zepsuć marketing i sprzedaż B2B technologią","",""
